,Envios,Acordos,Percentual
61A90,26779,7162,26.74483737256806
31A60,26361,7261,27.544478585789612
91A180,24427,5860,23.989847300118722
181A364,12491,2637,21.111200064046113
365A710,10143,1841,18.150448585231192
711A1095,7856,800,10.183299389002038
1096A1460,5937,334,5.625736904160351
31A364,2785,490,17.594254937163374
11A30,1068,191,17.883895131086142
1461A99999,894,33,3.691275167785235
31A710,834,67,8.03357314148681
