,Ocorrências,Acordos,Porcentagem
"AC,37",7,5.0,71.42857142857143
"AM,21",7,5.0,71.42857142857143
"MA,58",7,5.0,71.42857142857143
"AP,38",7,5.0,71.42857142857143
"RN,25",7,5.0,71.42857142857143
"SP,21",99,71.0,71.71717171717171
"AM,45",18,13.0,72.22222222222221
"RN,46",18,13.0,72.22222222222221
"RN,41",11,8.0,72.72727272727273
"AM,62",11,8.0,72.72727272727273
"PE,22",11,8.0,72.72727272727273
"PB,34",11,8.0,72.72727272727273
"MA,24",11,8.0,72.72727272727273
"MA,54",15,11.0,73.33333333333333
"AM,29",23,17.0,73.91304347826086
"TO,55",4,3.0,75.0
"RN,44",12,9.0,75.0
"CE,22",4,3.0,75.0
"MS,25",8,6.0,75.0
"MS,19",4,3.0,75.0
"SE,28",4,3.0,75.0
"AC,22",4,3.0,75.0
"RJ,20",16,12.0,75.0
"SE,45",8,6.0,75.0
"SE,66",4,3.0,75.0
"SE,27",4,3.0,75.0
"AM,53",12,9.0,75.0
"AL,21",4,3.0,75.0
"SC,19",4,3.0,75.0
"MT,20",4,3.0,75.0
"MS,26",8,6.0,75.0
"AM,61",8,6.0,75.0
"MS,20",8,6.0,75.0
"BA,20",8,6.0,75.0
"ES,64",4,3.0,75.0
"RN,40",21,16.0,76.19047619047619
"PI,38",21,16.0,76.19047619047619
"AM,50",17,13.0,76.47058823529412
"PA,53",13,10.0,76.92307692307693
"PA,24",13,10.0,76.92307692307693
"ES,26",9,7.0,77.77777777777779
"MT,23",9,7.0,77.77777777777779
"SP,20",50,39.0,78.0
"GO,20",14,11.0,78.57142857142857
"AM,46",24,19.0,79.16666666666666
"PR,19",5,4.0,80.0
"MS,38",10,8.0,80.0
"SC,73",5,4.0,80.0
"PB,43",5,4.0,80.0
"SE,35",5,4.0,80.0
"MS,22",10,8.0,80.0
"AM,22",10,8.0,80.0
"PB,21",5,4.0,80.0
"AP,29",5,4.0,80.0
"RN,53",5,4.0,80.0
"TO,52",5,4.0,80.0
"MT,54",5,4.0,80.0
"PB,20",5,4.0,80.0
"AC,31",5,4.0,80.0
"AC,55",5,4.0,80.0
"AM,63",5,4.0,80.0
"PE,19",5,4.0,80.0
"DF,68",5,4.0,80.0
"PB,41",11,9.0,81.81818181818183
"PE,23",11,9.0,81.81818181818183
"DF,26",17,14.0,82.35294117647058
"SC,21",6,5.0,83.33333333333334
"AM,49",12,10.0,83.33333333333334
"ES,49",6,5.0,83.33333333333334
"PA,20",6,5.0,83.33333333333334
"RN,60",6,5.0,83.33333333333334
"MA,20",6,5.0,83.33333333333334
"RJ,19",12,10.0,83.33333333333334
"TO,26",7,6.0,85.71428571428571
"SC,22",7,6.0,85.71428571428571
"ES,55",7,6.0,85.71428571428571
"ES,27",7,6.0,85.71428571428571
"SP,18",7,6.0,85.71428571428571
"PA,21",7,6.0,85.71428571428571
"AC,30",8,7.0,87.5
"ES,24",8,7.0,87.5
"ES,37",8,7.0,87.5
"SC,20",8,7.0,87.5
"PE,20",8,7.0,87.5
"BA,21",17,15.0,88.23529411764706
"SP,19",18,16.0,88.88888888888889
"PA,25",10,9.0,90.0
"TO,25",10,9.0,90.0
"PB,38",11,10.0,90.9090909090909
"GO,19",12,11.0,91.66666666666666
"AL,44",12,11.0,91.66666666666666
"ES,19",2,2.0,100.0
"RR,46",1,1.0,100.0
"DF,18",2,2.0,100.0
"CE,85",1,1.0,100.0
"ES,22",2,2.0,100.0
"RR,27",4,4.0,100.0
"RN,21",2,2.0,100.0
"RN,61",4,4.0,100.0
"RO,55",4,4.0,100.0
"ES,77",1,1.0,100.0
"AP,57",1,1.0,100.0
"PR,20",4,4.0,100.0
"AC,56",2,2.0,100.0
"AM,20",5,5.0,100.0
"SE,88",1,1.0,100.0
"MA,19",1,1.0,100.0
"AP,54",1,1.0,100.0
"RN,74",2,2.0,100.0
"PA,18",1,1.0,100.0
"MA,66",3,3.0,100.0
"SE,24",4,4.0,100.0
"SC,78",1,1.0,100.0
"RJ,18",4,4.0,100.0
"RN,19",2,2.0,100.0
"MG,18",2,2.0,100.0
"ES,21",3,3.0,100.0
"SE,22",3,3.0,100.0
"RO,57",1,1.0,100.0
"RR,47",1,1.0,100.0
"RR,22",1,1.0,100.0
"BA,81",1,1.0,100.0
"RR,45",2,2.0,100.0
"PB,92",1,1.0,100.0
"RR,49",1,1.0,100.0
"AC,24",4,4.0,100.0
"RR,41",1,1.0,100.0
"RS,89",2,2.0,100.0
"AC,19",1,1.0,100.0
"AP,46",2,2.0,100.0
"AC,38",6,6.0,100.0
"PI,21",6,6.0,100.0
"MT,77",1,1.0,100.0
"DF,87",1,1.0,100.0
"RR,24",1,1.0,100.0
"AC,74",1,1.0,100.0
"AC,26",5,5.0,100.0
"AC,65",1,1.0,100.0
"AM,75",2,2.0,100.0
"AP,62",1,1.0,100.0
"GO,94",1,1.0,100.0
"TO,19",1,1.0,100.0
"AC,60",1,1.0,100.0
"AP,61",1,1.0,100.0
"AL,72",1,1.0,100.0
"PI,19",1,1.0,100.0
"AP,19",1,1.0,100.0
"BA,90",1,1.0,100.0
"AP,67",1,1.0,100.0
"SC,84",1,1.0,100.0
"DF,20",4,4.0,100.0
"SE,30",1,1.0,100.0
"GO,123",1,1.0,100.0
"AL,24",9,9.0,100.0
"MA,100",1,1.0,100.0
"RR,61",1,1.0,100.0
"RJ,97",1,1.0,100.0
"PA,92",1,1.0,100.0
"BA,19",3,3.0,100.0
"MT,75",1,1.0,100.0
"nan,50",1,1.0,100.0
"AC,27",2,2.0,100.0
"PB,91",1,1.0,100.0
"AL,20",2,2.0,100.0
"PB,25",3,3.0,100.0
"RR,39",1,1.0,100.0
"PE,85",1,1.0,100.0
"MT,63",1,1.0,100.0
"RR,33",1,1.0,100.0
"MS,71",1,1.0,100.0
"RO,20",6,6.0,100.0
"RR,20",1,1.0,100.0
"MS,86",1,1.0,100.0
"MA,21",5,5.0,100.0
"RR,44",1,1.0,100.0
"PE,74",2,2.0,100.0
"PB,84",1,1.0,100.0
"RO,22",3,3.0,100.0
"SE,83",1,1.0,100.0
"RS,19",4,4.0,100.0
"AC,59",1,1.0,100.0
"DF,63",5,5.0,100.0
"PI,65",3,3.0,100.0
"AL,68",1,1.0,100.0
"SE,55",1,1.0,100.0
"TO,72",1,1.0,100.0
"PB,66",2,2.0,100.0
"RN,68",1,1.0,100.0
"SP,113",1,1.0,100.0
"TO,24",4,4.0,100.0
"AP,48",1,1.0,100.0
"AP,88",1,1.0,100.0
"TO,69",1,1.0,100.0
"SC,77",2,2.0,100.0
"GO,102",1,1.0,100.0
"PA,75",1,1.0,100.0
"DF,78",2,2.0,100.0
"SE,20",1,1.0,100.0
"PA,80",1,1.0,100.0
"PR,82",1,1.0,100.0
"PB,60",2,2.0,100.0
"DF,19",1,1.0,100.0
"RO,19",1,1.0,100.0
"CE,19",2,2.0,100.0
"MT,21",6,6.0,100.0
"PB,78",1,1.0,100.0
"AC,58",1,1.0,100.0
